year,latitude_eq,longitude_eq,country,regionCode_eq,intensity,eqDepth,magnitude_Mw,oceanicTsunami
1761,50.0,90.0,RUSSIA,40,10.0,30.0,7.7,0
1766,19.9,-76.1,CUBA,90,9.0,25.0,6.626,1
1769,51.8,105.5,RUSSIA,40,10.0,40.0,7.3,0
1780,38.0,46.2,IRAN,140,9.0,20.0,7.7,0
1780,45.3,151.2,RUSSIA,50,,40.0,7.095000000000001,1
1783,38.3,15.967,ITALY,130,11.0,13.0,6.693,1
1783,38.217,15.633,ITALY,130,8.0,6.0,6.023,1
1783,38.783,16.467,ITALY,130,10.0,18.0,6.693,1
1790,54.0,162.0,RUSSIA,50,10.0,20.0,7.5,0
1792,54.0,162.0,RUSSIA,50,11.0,40.0,8.4,1
1793,38.5,144.0,JAPAN,30,,33.0,7.631,1
1799,39.4,67.2,UZBEKISTAN,40,9.0,10.0,6.0,0
1802,45.7,26.6,ROMANIA,110,10.0,150.0,7.4,1
1805,5.37,-74.87,COLOMBIA,160,8.0,15.0,6.1,0
1806,-12.1,-77.1,PERU,160,8.0,30.0,7.095000000000001,1
1811,41.8,45.2,GEORGIA,40,7.0,7.0,4.2,0
1812,10.6,-66.9,VENEZUELA,160,10.0,33.0,7.7,1
1815,-8.0,115.0,INDONESIA,60,9.0,150.0,6.76,1
1816,15.5,-91.5,GUATEMALA,100,9.0,33.0,7.095000000000001,0
1820,-7.0,119.0,INDONESIA,60,10.0,80.0,7.095000000000001,1
1828,-12.13,-77.809,PERU,160,7.0,50.0,7.631,0
1828,40.7,48.4,AZERBAIJAN,40,8.0,10.0,5.7,0
1829,51.4,104.1,RUSSIA,40,10.0,40.0,7.5,0
1830,43.0,47.0,RUSSIA,40,9.0,16.0,6.3,0
1833,-18.251,-71.01,PERU,160,8.0,60.0,7.229000000000001,1
1833,-2.5,100.5,INDONESIA,60,9.0,75.0,7.631,1
1834,1.1,-76.93,COLOMBIA,160,9.0,15.0,6.7,0
1834,47.6,22.3,HUNGARY,110,8.0,32.0,6.8,0
1838,45.7,26.6,ROMANIA,110,8.0,150.0,6.9,1
1839,14.9,-60.6,MARTINIQUE,90,9.0,33.0,7.8,1
1840,-8.0,110.5,INDONESIA,60,9.0,150.0,6.76,1
1840,46.2,14.7,SLOVENIA,130,7.0,8.0,4.9,0
1841,52.0,158.0,RUSSIA,50,11.0,30.0,7.698,1
1842,40.5,50.0,AZERBAIJAN,40,8.0,3.0,4.3,0
1843,16.5,-62.2,GUADELOUPE,90,9.0,33.0,8.3,1
1843,-39.9,175.0,NEW ZEALAND,170,,33.0,7.095000000000001,1
1845,46.1,14.5,SLOVENIA,130,7.0,7.0,4.9,0
1846,-14.0,-76.8,PERU,160,6.0,50.0,7.362999999999999,0
1846,43.4,10.6,ITALY,130,10.0,5.0,6.157,1
1847,46.0,152.0,RUSSIA,50,,40.0,7.5,0
1849,7.3,-72.3,VENEZUELA,160,9.0,13.0,6.0,0
1849,55.0,166.0,RUSSIA,50,10.0,20.0,7.095000000000001,0
1852,37.1,58.4,IRAN,140,9.0,10.0,5.8,0
1852,-5.25,129.75,INDONESIA,170,9.0,100.0,7.631,1
1853,10.5,-64.2,VENEZUELA,90,9.0,14.0,6.559000000000001,1
1855,-41.25,175.0,NEW ZEALAND,170,,33.0,7.43,1
1858,55.0,166.0,RUSSIA,50,10.0,20.0,7.5,0
1859,40.7,48.5,AZERBAIJAN,40,9.0,10.0,5.9,0
1861,-1.0,97.5,INDONESIA,60,9.0,70.0,7.765000000000001,1
1862,52.3,106.7,RUSSIA,40,10.0,40.0,7.095000000000001,0
1867,18.2,-65.0,USA TERRITORY,90,10.0,33.0,7.3,1
1868,41.2,69.6,UZBEKISTAN,40,8.0,18.0,6.5,0
1868,-18.6,-71.0,CHILE,160,11.0,25.0,7.765000000000001,1
1868,0.31,-78.18,ECUADOR,160,10.0,20.0,7.229000000000001,0
1868,41.2,43.8,GEORGIA,40,7.0,15.0,4.5,0
1869,-19.6,-70.23,CHILE,160,8.0,30.0,7.095000000000001,1
1869,44.75,35.0,UKRAINE,110,8.0,18.0,5.821999999999999,1
1871,37.3,58.3,IRAN,140,7.0,15.0,5.6,0
1872,37.3,58.3,IRAN,140,7.0,15.0,6.3,0
1872,40.6,48.7,AZERBAIJAN,40,10.0,7.0,5.889,0
1872,34.9,132.0,JAPAN,30,,33.0,7.0280000000000005,1
1872,48.4,23.3,UKRAINE,110,7.0,5.0,4.3,0
1874,10.5,-63.1,VENEZUELA,160,,16.0,5.9,0
1875,7.9,-72.5,COLOMBIA,160,10.0,20.0,7.095000000000001,0
1875,44.5,33.4,UKRAINE,110,9.0,9.0,5.554,0
1877,-21.5,-70.5,CHILE,160,11.0,40.0,7.631,1
1878,-19.92,-70.335,CHILE,160,8.0,40.0,7.362999999999999,1
1878,10.3,-66.8,VENEZUELA,160,9.0,13.0,6.023,0
1879,37.5,57.4,IRAN,140,9.0,15.0,6.7,0
1880,16.0,121.85,PHILIPPINES,170,9.0,100.0,7.095000000000001,1
1882,46.0,14.2,SLOVENIA,130,7.0,12.0,4.8,0
1882,10.0,-79.0,PANAMA,90,11.0,40.0,7.631,1
1885,41.9,47.8,RUSSIA,40,7.0,3.0,4.0,0
1885,42.7,74.1,KYRGYZSTAN,40,10.0,15.0,6.9,0
1887,30.8,-109.25,MEXICO,150,12.0,80.0,7.4,1
1887,43.1,76.8,KAZAKHSTAN,40,10.0,20.0,7.3,0
1890,36.6,54.6,IRAN,140,10.0,10.0,6.894,1
1894,42.5,146.0,JAPAN,30,9.0,40.0,7.362999999999999,1
1894,8.5,-71.7,VENEZUELA,160,9.0,20.0,7.564,0
1895,46.1,14.5,SLOVENIA,130,9.0,16.0,6.157,0
1895,39.5,53.7,TURKMENISTAN,140,10.0,60.0,7.564,1
1896,37.0,71.0,AFGHANISTAN,40,6.0,160.0,7.5,0
1896,39.7,75.9,CHINA,40,8.0,25.0,6.491999999999999,0
1896,43.5,146.0,RUSSIA,50,9.0,40.0,7.6,0
1897,26.95,56.26,IRAN,140,8.0,33.0,6.157,0
1897,40.0,140.0,JAPAN,30,,60.0,8.3,0
1897,38.1,141.9,JAPAN,30,,33.0,7.0280000000000005,1
1897,-37.35,139.75,AUSTRALIA,170,9.0,14.0,6.2,0
1897,12.0,124.0,PHILIPPINES,170,8.0,33.0,7.362999999999999,1
1897,26.0,90.7,INDIA,60,10.0,33.0,8.0,0
1897,18.0,120.0,PHILIPPINES,170,8.0,33.0,7.362999999999999,0
1897,39.0,143.0,JAPAN,30,,60.0,7.9,0
1897,-11.9,-76.8,PERU,160,7.0,70.0,7.7,0
1897,6.0,122.0,PHILIPPINES,170,7.0,33.0,7.832000000000001,1
1897,6.0,122.0,PHILIPPINES,170,9.0,33.0,7.898999999999999,1
1897,12.0,126.0,PHILIPPINES,170,9.0,33.0,7.497,1
1897,12.0,126.0,PHILIPPINES,170,,33.0,7.362999999999999,0
1898,36.5,54.9,IRAN,140,8.0,5.0,4.3,0
1898,12.0,-86.0,NICARAGUA,100,8.0,33.0,7.362999999999999,0
1899,17.0,-98.0,MEXICO,150,,60.0,8.4,0
1899,-21.97,-63.67,BOLIVIA,160,10.0,10.0,6.693,0
1899,18.0,-77.0,JAMAICA,90,5.0,60.0,7.295999999999999,0
1899,60.0,-142.0,USA,150,11.0,25.0,7.564,1
1899,60.0,-140.0,USA,150,7.0,25.0,7.295999999999999,0
1899,60.0,-140.0,USA,150,11.0,60.0,8.2,1
1899,53.0,159.0,RUSSIA,50,,20.0,7.9,0
1899,31.9,132.0,JAPAN,30,,60.0,7.1,1
1900,20.0,-105.0,MEXICO,150,8.0,10.0,7.3,1
1900,20.0,-105.0,MEXICO,150,,60.0,6.693,1
1900,10.0,-85.5,COSTA RICA,100,,60.0,7.095000000000001,0
1900,-10.0,165.0,SOLOMON ISLANDS,170,,33.0,7.161999999999999,0
1900,11.0,-66.0,VENEZUELA,90,10.0,25.0,7.7,1
1900,43.0,146.0,RUSSIA,50,9.0,40.0,7.9,0
1901,-2.0,-82.0,ECUADOR,160,,25.0,7.8,0
1901,45.0,148.0,RUSSIA,50,,30.0,7.5,0
1901,27.0,130.0,JAPAN,30,,60.0,7.9,1
1901,40.5,142.5,JAPAN,30,,33.0,7.362999999999999,1
1901,40.6,142.3,JAPAN,30,,33.0,7.564,1
1901,40.5,142.5,JAPAN,30,,33.0,6.291,1
1901,14.0,122.0,PHILIPPINES,170,7.0,33.0,7.295999999999999,0
1901,51.45,-171.02,USA,150,,25.0,7.295999999999999,1
1902,-8.0,150.0,PAPUA NEW GUINEA,170,,60.0,7.295999999999999,0
1902,-20.0,-174.0,TONGA,170,,60.0,7.8,0
1902,40.7,48.6,AZERBAIJAN,40,9.0,15.0,6.693,0
1902,14.0,-91.0,GUATEMALA,100,,33.0,7.095000000000001,0
1902,50.0,148.0,RUSSIA,50,4.0,600.0,7.43,0
1902,39.8,76.2,CHINA,40,10.0,30.0,7.7,0
1902,18.0,146.0,USA TERRITORY,170,9.0,33.0,7.497,0
1902,16.6,-92.6,MEXICO,150,8.0,100.0,7.295999999999999,0
1902,29.0,-114.0,MEXICO,150,,60.0,7.295999999999999,0
1902,40.8,72.3,UZBEKISTAN,40,9.0,9.0,6.3580000000000005,0
1903,-20.0,-175.0,TONGA,170,,400.0,7.43,0
1903,15.0,-98.0,MEXICO,150,,33.0,7.229000000000001,0
1903,48.0,98.0,MONGOLIA,40,,60.0,7.8,0
1903,-17.0,168.0,VANUATU,170,,60.0,7.362999999999999,0
1903,36.0,23.0,GREECE,130,11.0,100.0,7.295999999999999,0
1903,7.0,126.0,PHILIPPINES,170,8.0,60.0,7.295999999999999,0
1904,7.0,-79.0,COLOMBIA,160,,60.0,7.362999999999999,1
1904,42.5,145.8,JAPAN,30,10.0,40.0,7.6,0
1904,41.8,23.2,BULGARIA,110,10.0,15.0,7.095000000000001,0
1904,41.8,23.2,BULGARIA,110,11.0,15.0,7.295999999999999,0
1904,40.0,134.0,JAPAN,30,,350.0,7.9,0
1904,52.0,159.0,RUSSIA,50,10.0,30.0,7.631,1
1904,52.0,159.0,RUSSIA,50,10.0,30.0,7.497,1
1904,52.0,159.0,RUSSIA,50,9.0,60.0,7.362999999999999,0
1904,-40.5,177.0,NEW ZEALAND,170,,33.0,7.5,1
1904,37.75,27.0,GREECE,130,10.0,10.0,6.1,0
1904,30.0,130.0,JAPAN,30,,25.0,7.9,0
1904,9.2,-82.8,PANAMA,100,,60.0,7.2,1
1905,1.0,123.0,INDONESIA,170,,90.0,7.698,0
1905,-27.5,-173.0,KERMADEC ISLANDS (NEW ZEALAND),170,,60.0,7.5,0
1905,32.597,76.916,INDIA,60,10.0,20.0,7.9,0
1905,40.2,29.0,TURKEY,140,10.0,33.0,6.425000000000001,0
1905,-4.0,149.0,PAPUA NEW GUINEA,170,,60.0,7.5,0
1905,42.1,19.6,ALBANIA,130,10.0,20.0,6.6,0
1905,34.0,132.0,JAPAN,30,,100.0,7.295999999999999,0
1905,-1.0,-168.0,KIRIBATI,170,,60.0,7.6,0
1905,37.4,142.6,JAPAN,30,,33.0,6.76,1
1905,49.0,99.0,MONGOLIA,40,,33.0,8.4,0
1905,49.292,96.843,MONGOLIA,40,,15.0,8.3,0
1905,45.0,143.0,JAPAN,30,,230.0,7.5,0
1905,38.67,16.07,ITALY,130,11.0,15.0,6.827,1
1905,53.0,164.0,RUSSIA,50,,60.0,7.8,0
1905,42.0,23.0,BULGARIA,110,10.0,33.0,6.4,0
1905,42.0,42.0,GEORGIA,40,,60.0,7.095000000000001,1
1905,40.092,24.627,GREECE,130,10.0,15.0,7.2,1
1906,34.0,138.0,JAPAN,30,,340.0,7.698,0
1906,0.955,-79.369,ECUADOR,160,9.0,20.0,8.8,1
1906,41.1,20.0,ALBANIA,130,10.0,15.0,6.5,0
1906,19.0,-113.8,MEXICO,150,,60.0,7.5,0
1906,37.67,-122.48,USA,150,11.0,20.0,7.9,1
1906,51.853,178.18,USA,150,,110.0,8.3,0
1906,-33.0,-72.0,CHILE,160,11.0,25.0,8.2,1
1906,-7.0,149.0,PAPUA NEW GUINEA,170,,33.0,8.0,1
1906,-2.0,-79.0,ECUADOR,160,7.0,150.0,7.362999999999999,0
1906,15.0,-61.0,MARTINIQUE,90,,100.0,7.362999999999999,0
1906,43.5,85.0,CHINA,40,9.0,33.0,7.631,0
1906,-18.0,-71.0,PERU,160,,33.0,7.362999999999999,1
1907,2.681,95.53,INDONESIA,60,,50.0,8.2,1
1907,18.667,-76.237,JAMAICA,90,,15.0,6.2,1
1907,-13.2,-75.4,PERU,160,,90.0,7.6,0
1907,17.0,-100.0,MEXICO,150,,60.0,7.631,1
1907,-7.5,153.7,PAPUA NEW GUINEA,170,,60.0,7.7,0
1907,51.5,147.0,RUSSIA,50,,600.0,7.362999999999999,0
1907,1.0,127.0,INDONESIA,170,,200.0,7.362999999999999,0
1907,41.1,20.1,ALBANIA,130,10.0,13.0,6.2,0
1907,28.0,-112.5,MEXICO,150,,60.0,7.7,0
1907,38.5,67.9,TAJIKISTAN,40,9.0,35.0,7.0280000000000005,0
1907,38.133,16.017,ITALY,130,10.0,33.0,6.023,1
1908,18.0,-99.0,MEXICO,150,,80.0,7.497,0
1908,36.5,70.5,AFGHANISTAN,40,,220.0,6.76,0
1908,45.0,150.0,RUSSIA,50,,40.0,7.161999999999999,0
1908,26.639,96.866,MYANMAR (BURMA),60,,15.0,7.2,0
1908,38.17,15.58,ITALY,130,11.0,40.0,7.0,1
1909,34.306,50.396,IRAN,140,9.0,15.0,7.3,0
1909,-18.0,-179.0,FIJI,170,,550.0,7.295999999999999,0
1909,34.5,141.5,JAPAN,30,,80.0,7.095000000000001,1
1909,-2.0,101.0,INDONESIA,60,,40.0,7.161999999999999,1
1909,36.5,70.5,AFGHANISTAN,40,7.0,230.0,7.497,0
1909,37.9,21.5,GREECE,130,10.0,4.0,5.7,0
1909,35.4,136.3,JAPAN,30,,33.0,6.693,1
1909,30.0,68.0,PAKISTAN,60,,60.0,7.2,0
1909,32.0,131.0,JAPAN,30,,190.0,7.9,0
1909,12.5,145.0,USA TERRITORY,170,8.0,100.0,8.0,1
1910,17.0,-85.0,HONDURAS,90,,60.0,7.095000000000001,0
1910,33.0,138.5,JAPAN,30,,350.0,7.0280000000000005,0
1910,25.5,122.5,TAIWAN,30,,200.0,7.295999999999999,0
1910,42.0,145.0,JAPAN,30,,60.0,7.5,0
1910,-20.0,169.0,VANUATU,170,,80.0,7.5,0
1910,40.9,15.4,ITALY,130,10.0,33.0,5.9,0
1910,-19.0,169.5,VANUATU,170,,100.0,7.9,0
1910,36.0,4.0,ALGERIA,15,11.0,33.0,6.3580000000000005,0
1910,-14.0,166.5,VANUATU,170,,90.0,6.894,1
1910,-8.0,167.0,SOLOMON ISLANDS,170,,33.0,7.43,0
1911,42.919,76.808,KYRGYZSTAN,40,10.0,20.0,8.0,0
1911,30.46,56.305,IRAN,140,8.0,15.0,6.5,0
1911,51.8,156.0,RUSSIA,50,7.0,240.0,7.161999999999999,0
1911,18.362,-102.471,MEXICO,150,9.0,30.0,7.6,1
1911,28.0,130.0,JAPAN,30,,160.0,7.43,1
1911,36.0,70.5,AFGHANISTAN,40,,190.0,7.161999999999999,0
1911,9.0,126.0,PHILIPPINES,170,10.0,50.0,7.295999999999999,1
1911,7.0,137.0,"MICRONESIA, FED. STATES OF",170,,17.0,7.7,0
1911,37.7,15.2,ITALY,130,10.0,1.0,4.3,0
1911,17.0,-100.7,MEXICO,150,4.0,50.0,7.161999999999999,0
1912,37.928,21.013,GREECE,130,10.0,15.0,6.4,1
1912,64.0,-20.0,ICELAND,120,11.0,60.0,7.5,0
1912,21.0,97.0,MYANMAR (BURMA),60,9.0,25.0,7.43,0
1912,-5.62,-80.413,PERU,160,10.0,30.0,6.76,0
1912,40.73,27.121,TURKEY,140,,15.0,7.2,1
1912,7.0,138.0,"MICRONESIA, FED. STATES OF",170,,50.0,7.5,0
1912,57.5,-155.0,USA,150,5.0,90.0,7.5,0
1912,-29.0,-62.5,ARGENTINA,160,,620.0,7.095000000000001,0
1913,46.0,152.0,RUSSIA,50,,120.0,7.5,0
1913,-3.4,-79.6,ECUADOR,160,7.0,50.0,7.7,0
1913,5.354,126.121,INDONESIA,170,9.0,15.0,7.8,1
1913,9.5,127.8,PHILIPPINES,170,,60.0,7.7,0
1913,-5.0,154.0,PAPUA NEW GUINEA,170,,60.0,7.5,0
1913,-20.0,-174.0,TONGA,170,,33.0,7.161999999999999,0
1913,47.5,155.5,RUSSIA,50,,60.0,7.7,0
1913,-17.0,-74.0,PERU,160,10.0,33.0,7.362999999999999,1
1913,-19.5,169.0,VANUATU,170,,230.0,7.497,0
1913,-14.2,-72.9,PERU,160,10.0,10.0,6.291,0
1913,-18.0,169.0,VANUATU,170,,80.0,7.5,0
1913,24.15,102.45,CHINA,30,9.0,10.0,6.76,0
1914,31.58,130.67,JAPAN,30,,33.0,6.827,1
1914,-35.0,-73.0,CHILE,160,,33.0,7.161999999999999,0
1914,39.2,139.8,JAPAN,30,,33.0,6.894,0
1914,16.8,-92.2,MEXICO,150,,150.0,7.5,0
1914,-1.829,136.943,INDONESIA,170,9.0,15.0,8.1,1
1914,-0.2,-78.2,ECUADOR,160,10.0,10.0,5.8,0
1914,-3.924,101.82,INDONESIA,60,,35.0,7.6,1
1914,6.0,132.5,PALAU,170,,60.0,7.6,0
1914,22.0,143.0,JAPAN,30,,110.0,7.497,0
1914,38.582,20.587,GREECE,130,9.0,15.0,6.3,1
1915,42.0,13.5,ITALY,130,11.0,10.0,7.095000000000001,0
1915,23.6,123.5,JAPAN,30,,60.0,7.7,0
1915,47.0,155.0,RUSSIA,50,,25.0,7.497,0
1915,-18.5,-68.5,PERU,160,,160.0,7.6,0
1915,53.5,163.3,RUSSIA,50,10.0,20.0,6.961,0
1915,14.126,-89.007,EL SALVADOR,100,8.0,15.0,7.7,1
1915,38.3,142.9,JAPAN,30,,60.0,7.295999999999999,1
1916,-4.739,152.548,PAPUA NEW GUINEA,170,,35.0,7.9,1
1916,-3.0,136.0,INDONESIA,170,,30.0,7.497,0
1916,-3.0,135.5,INDONESIA,170,,16.0,7.497,0
1916,40.201,37.312,TURKEY,140,9.0,15.0,7.0,0
1916,29.5,131.5,JAPAN,30,,33.0,7.43,0
1916,48.5,178.5,USA,150,,60.0,7.7,0
1916,11.0,-86.0,NICARAGUA,100,,60.0,7.095000000000001,0
1916,53.3,-170.0,USA,150,,170.0,7.5,0
1916,33.0,141.0,JAPAN,30,,60.0,7.8,0
1916,18.5,-68.0,DOMINICAN REPUBLIC,90,9.0,80.0,6.894,0
1916,9.6,-82.0,PANAMA,90,9.0,25.0,6.76,1
1916,-28.5,-63.0,ARGENTINA,160,,600.0,7.5,0
1916,-4.0,144.5,PAPUA NEW GUINEA,170,,60.0,7.5,0
1916,-21.0,-68.0,BOLIVIA,160,,180.0,7.095000000000001,0
1916,30.0,81.0,NEPAL,60,,33.0,7.229000000000001,0
1916,-9.0,113.0,INDONESIA,60,,100.0,6.961,0
1916,46.3,14.6,SLOVENIA,130,7.0,11.0,4.9,0
1916,46.5,160.0,RUSSIA,50,,60.0,7.7,0
1917,-7.0,116.0,INDONESIA,60,9.0,33.0,6.491999999999999,1
1917,45.9,15.6,SLOVENIA,130,8.0,13.0,5.6,0
1917,56.5,163.0,RUSSIA,50,,40.0,7.295999999999999,1
1917,6.0,125.0,PHILIPPINES,170,9.0,33.0,6.3580000000000005,1
1917,43.5,12.1,ITALY,130,10.0,33.0,5.5,0
1917,-29.2,-177.0,KERMADEC ISLANDS (NEW ZEALAND),170,,60.0,7.43,1
1917,-15.5,-173.0,SAMOA,170,,25.0,7.631,1
1917,25.0,123.0,TAIWAN,30,,60.0,7.229000000000001,0
1917,28.0,104.0,CHINA,30,9.0,33.0,6.626,0
1917,42.5,131.0,CHINA,30,,460.0,7.095000000000001,0
1917,-7.5,128.0,INDONESIA,170,,100.0,7.295999999999999,0
1917,4.0,-74.0,COLOMBIA,160,8.0,40.0,6.961,0
1917,-29.0,-177.5,KERMADEC ISLANDS (NEW ZEALAND),170,,60.0,7.5,1
1917,15.0,-97.0,MEXICO,150,,33.0,7.229000000000001,0
1918,45.4,136.5,RUSSIA,50,,350.0,7.7,0
1918,6.5,126.5,PHILIPPINES,170,7.0,120.0,7.095000000000001,0
1918,23.5,117.2,CHINA,30,10.0,23.0,6.961,1
1918,33.762,-116.972,USA,150,10.0,10.0,6.7,0
1918,-28.5,-71.5,CHILE,160,,80.0,7.362999999999999,1
1918,-3.5,142.5,PAPUA NEW GUINEA,170,,60.0,7.5,0
1918,24.5,91.0,BANGLADESH,60,,60.0,7.161999999999999,0
1918,5.538,123.994,PHILIPPINES,170,10.0,20.0,8.3,1
1918,45.5,151.5,RUSSIA,50,,33.0,7.631,1
1918,18.7,-67.189,USA TERRITORY,90,9.0,15.0,7.1,1
1918,44.5,151.5,RUSSIA,50,,25.0,7.295999999999999,1
1918,-7.0,129.0,INDONESIA,170,,190.0,7.497,0
1918,-26.0,-71.0,CHILE,160,,33.0,7.295999999999999,1
1919,-19.5,-176.5,FIJI,170,,180.0,7.631,1
1919,-18.352,-172.515,TONGA,170,,25.0,8.1,1
1919,40.5,145.5,JAPAN,30,,60.0,7.6,0
1919,-4.806,153.859,PAPUA NEW GUINEA,170,,35.0,8.2,1
1919,44.0,11.5,ITALY,130,10.0,33.0,6.224,0
1920,-6.5,150.0,PAPUA NEW GUINEA,170,,60.0,7.229000000000001,1
1920,42.0,44.1,GEORGIA,40,,11.0,6.224,0
1920,23.688,121.954,TAIWAN,30,,20.0,8.2,0
1920,44.3,10.3,ITALY,130,10.0,10.0,5.956,0
1920,-19.919,168.53,NEW CALEDONIA,170,,35.0,7.8,1
1920,40.2,20.0,ALBANIA,130,11.0,25.0,6.2,0
1920,36.601,105.317,CHINA,30,12.0,25.0,8.3,1
1920,-31.905,-68.412,ARGENTINA,160,8.0,15.0,6.7,0
